"No.","Time","Source","Destination","Protocol","Length","Info"
"41","16.561690","192.168.1.109","64.71.249.49","TCP","55","[TCP segment of a reassembled PDU]"
"42","16.579165","64.71.249.49","192.168.1.109","TCP","66","443  >  50070 [ACK] Seq=1 Ack=2 Win=448 Len=0 SLE=1 SRE=2"
"43","16.827635","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"44","16.829492","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"45","16.830595","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"46","16.831791","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"47","16.832174","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation"
"48","16.880948","fe80::8000:f227:62c7:9542","fe80::ffff:ffff:fffe","ICMPv6","151","Router Advertisement"
"49","16.881467","2001:0:9d38:6abd:8ee:ed1:9c15:6df3","ff02::1","IPv6","82","IPv6 no next header"
"50","16.883441","192.168.1.100","192.168.1.109","UDP","94","57464  >  61742  Len=52"
"51","16.939707","2001:0:9d38:6abd:10df:1f87:9c15:6df3","2001:0:9d38:6abd:8ee:ed1:9c15:6df3","IPv6","98","IPv6 no next header"
"52","16.940392","192.168.1.109","192.168.1.100","UDP","94","61742  >  57464  Len=52"
"53","18.202707","Azurewav_72:18:2b","AsustekC_bc:42:24","ARP","42","Who has 192.168.1.100? Tell 192.168.1.109"
"54","18.206275","AsustekC_bc:42:24","Azurewav_72:18:2b","ARP","60","192.168.1.100 is at d8:50:e6:bc:42:24"
"55","19.997907","192.168.1.134","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1 "
"56","20.101023","192.168.1.134","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1 "
"57","20.205411","192.168.1.134","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1 "
"58","20.309057","192.168.1.134","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1 "
"59","20.413590","192.168.1.134","239.255.255.250","SSDP","433","NOTIFY * HTTP/1.1 "
"60","20.498963","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"61","20.517520","192.168.1.134","239.255.255.250","SSDP","433","NOTIFY * HTTP/1.1 "
"62","20.622299","192.168.1.134","239.255.255.250","SSDP","443","NOTIFY * HTTP/1.1 "
"63","20.725640","192.168.1.134","239.255.255.250","SSDP","443","NOTIFY * HTTP/1.1 "
"64","21.061434","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"65","21.559364","192.168.1.109","96.7.203.235","TCP","54","49804  >  80 [FIN, ACK] Seq=1 Ack=1 Win=257 Len=0"
"66","21.560727","AsustekC_bc:42:24","Azurewav_72:18:2b","ARP","60","Who has 192.168.1.109? Tell 192.168.1.100"
"67","21.560776","Azurewav_72:18:2b","AsustekC_bc:42:24","ARP","42","192.168.1.109 is at dc:85:de:72:18:2b"
"68","21.619474","96.7.203.235","192.168.1.109","TCP","54","80  >  49804 [FIN, ACK] Seq=1 Ack=2 Win=1058 Len=0"
"69","21.619580","192.168.1.109","96.7.203.235","TCP","54","49804  >  80 [ACK] Seq=2 Ack=2 Win=257 Len=0"
"70","21.826358","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"71","21.829838","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"72","21.830892","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"73","21.839159","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"74","22.061574","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"75","22.109278","192.168.1.109","96.7.203.235","TCP","54","49807  >  443 [FIN, ACK] Seq=1 Ack=1 Win=261 Len=0"
"76","22.177888","96.7.203.235","192.168.1.109","TLSv1.2","85","Encrypted Alert"
"77","22.178010","192.168.1.109","96.7.203.235","TCP","54","49807  >  443 [RST, ACK] Seq=2 Ack=32 Win=0 Len=0"
"78","22.178797","96.7.203.235","192.168.1.109","TCP","54","443  >  49807 [FIN, ACK] Seq=32 Ack=2 Win=1091 Len=0"
"79","22.843491","192.168.1.100","239.255.255.250","SSDP","136","M-SEARCH * HTTP/1.1 "
"80","22.849108","192.168.1.135","239.255.255.250","SSDP","136","M-SEARCH * HTTP/1.1 "
"81","23.499377","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"82","24.062346","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"83","25.062209","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"84","25.508989","192.168.1.100","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"85","25.510384","fe80::98b8:35ed:9434:3a51","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"86","25.512003","192.168.1.135","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"87","25.515771","fe80::2d72:8073:b437:a228","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"88","25.516813","192.168.1.135","224.0.0.251","MDNS","54","Standard query response 0x0000"
"89","25.518097","fe80::2d72:8073:b437:a228","ff02::fb","MDNS","74","Standard query response 0x0000"
"90","25.526216","fe80::98b8:35ed:9434:3a51","ff02::fb","MDNS","74","Standard query response 0x0000"
"91","25.527555","192.168.1.100","224.0.0.251","MDNS","60","Standard query response 0x0000"
"92","25.528626","fe80::98b8:35ed:9434:3a51","ff02::fb","MDNS","74","Standard query response 0x0000"
"93","25.529741","192.168.1.100","224.0.0.251","MDNS","60","Standard query response 0x0000"
"94","25.530841","192.168.1.135","224.0.0.251","MDNS","54","Standard query response 0x0000"
"95","25.533063","192.168.1.100","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"96","25.535519","192.168.1.135","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"97","25.536651","fe80::2d72:8073:b437:a228","ff02::fb","MDNS","74","Standard query response 0x0000"
"98","26.072159","192.168.1.109","178.255.154.50","TCP","78","50066  >  5938 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=24"
"99","26.210766","178.255.154.50","192.168.1.109","TCP","78","5938  >  50066 [PSH, ACK] Seq=1 Ack=25 Win=512 Len=24"
"100","26.261568","192.168.1.109","178.255.154.50","TCP","54","50066  >  5938 [ACK] Seq=25 Ack=25 Win=256 Len=0"
"101","26.393107","172.217.0.174","192.168.1.109","TLSv1.2","117","Application Data"
"102","26.393669","192.168.1.109","172.217.0.174","TCP","54","50060  >  443 [FIN, ACK] Seq=2 Ack=64 Win=251 Len=0"
"103","26.394123","172.217.0.174","192.168.1.109","TCP","54","443  >  50060 [FIN, ACK] Seq=64 Ack=2 Win=369 Len=0"
"104","26.394208","192.168.1.109","172.217.0.174","TCP","54","50060  >  443 [ACK] Seq=3 Ack=65 Win=251 Len=0"
"105","26.443930","172.217.0.174","192.168.1.109","TCP","54","443  >  50060 [ACK] Seq=65 Ack=3 Win=369 Len=0"
"106","26.509879","192.168.1.100","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"107","26.511095","192.168.1.135","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"108","26.512158","192.168.1.135","224.0.0.251","MDNS","54","Standard query response 0x0000"
"109","26.515602","fe80::2d72:8073:b437:a228","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"110","26.517125","fe80::2d72:8073:b437:a228","ff02::fb","MDNS","74","Standard query response 0x0000"
"111","26.518516","fe80::98b8:35ed:9434:3a51","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"112","26.521917","fe80::98b8:35ed:9434:3a51","ff02::fb","MDNS","74","Standard query response 0x0000"
"113","26.523026","192.168.1.100","224.0.0.251","MDNS","60","Standard query response 0x0000"
"114","26.525549","fe80::98b8:35ed:9434:3a51","ff02::fb","MDNS","74","Standard query response 0x0000"
"115","26.526566","192.168.1.100","224.0.0.251","MDNS","60","Standard query response 0x0000"
"116","26.528889","192.168.1.100","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"117","26.530016","192.168.1.135","224.0.0.251","MDNS","54","Standard query response 0x0000"
"118","26.532395","192.168.1.135","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"119","26.533578","fe80::2d72:8073:b437:a228","ff02::fb","MDNS","74","Standard query response 0x0000"
"120","26.627592","Cisco-Li_65:d1:20","Azurewav_72:18:2b","ARP","42","Who has 192.168.1.109? Tell 192.168.1.1"
"121","26.627652","Azurewav_72:18:2b","Cisco-Li_65:d1:20","ARP","42","192.168.1.109 is at dc:85:de:72:18:2b"
"122","26.825636","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"123","26.828813","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"124","26.829829","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"125","26.830993","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"126","27.516429","192.168.1.100","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"127","27.523719","192.168.1.135","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"128","28.511130","192.168.1.100","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"129","28.512465","fe80::98b8:35ed:9434:3a51","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"130","28.514725","192.168.1.100","224.0.0.251","MDNS","60","Standard query response 0x0000"
"131","28.516045","192.168.1.135","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"132","28.517441","fe80::2d72:8073:b437:a228","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"133","28.518522","192.168.1.135","224.0.0.251","MDNS","54","Standard query response 0x0000"
"134","28.519690","fe80::2d72:8073:b437:a228","ff02::fb","MDNS","74","Standard query response 0x0000"
"135","28.520829","fe80::98b8:35ed:9434:3a51","ff02::fb","MDNS","74","Standard query response 0x0000"
"136","28.525542","192.168.1.100","224.0.0.251","MDNS","60","Standard query response 0x0000"
"137","28.527840","192.168.1.100","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"138","28.529496","192.168.1.135","224.0.0.251","MDNS","54","Standard query response 0x0000"
"139","28.530714","fe80::2d72:8073:b437:a228","ff02::fb","MDNS","74","Standard query response 0x0000"
"140","28.533000","192.168.1.135","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"141","29.500149","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"142","30.062282","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"143","30.219635","204.79.197.200","192.168.1.109","TCP","54","443  >  50078 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"144","30.299838","192.168.1.135","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"145","30.302092","192.168.1.135","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"146","31.061880","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"147","31.212171","192.168.1.109","178.255.154.50","TCP","78","50066  >  5938 [PSH, ACK] Seq=25 Ack=25 Win=256 Len=24"
"148","31.319041","204.79.197.200","192.168.1.109","TCP","54","443  >  50082 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"149","31.438877","178.255.154.50","192.168.1.109","TCP","60","5938  >  50066 [ACK] Seq=25 Ack=49 Win=512 Len=0"
"150","31.688576","192.168.1.109","24.156.131.98","TLSv1.2","144","Application Data"
"151","31.688994","192.168.1.109","24.156.131.98","TLSv1.2","100","Application Data"
"152","31.718407","24.156.131.98","192.168.1.109","TCP","60","443  >  49793 [ACK] Seq=269 Ack=273 Win=254 Len=0"
"153","31.718661","24.156.131.98","192.168.1.109","TCP","60","443  >  49793 [ACK] Seq=269 Ack=319 Win=254 Len=0"
"154","31.719664","24.156.131.98","192.168.1.109","TLSv1.2","100","Application Data"
"155","31.746594","24.156.131.98","192.168.1.109","TLSv1.2","276","Application Data, Application Data, Application Data"
"156","31.746704","192.168.1.109","24.156.131.98","TCP","54","49793  >  443 [ACK] Seq=319 Ack=537 Win=253 Len=0"
"157","31.747860","192.168.1.109","24.156.131.98","TLSv1.2","100","Application Data"
"158","31.828518","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"159","31.829588","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"160","31.831138","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"161","31.832309","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"162","31.840755","24.156.131.98","192.168.1.109","TCP","60","443  >  49793 [ACK] Seq=537 Ack=365 Win=254 Len=0"
"163","32.422150","192.168.1.109","173.194.204.188","TCP","55","49715  >  5228 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"164","32.518547","173.194.204.188","192.168.1.109","TCP","66","5228  >  49715 [ACK] Seq=1 Ack=2 Win=361 Len=0 SLE=1 SRE=2"
"165","34.578977","204.79.197.200","192.168.1.109","TCP","54","443  >  50079 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"166","34.708649","204.79.197.200","192.168.1.109","TCP","54","443  >  50081 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"167","34.998970","204.79.197.200","192.168.1.109","TCP","54","443  >  50083 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"168","35.629838","204.79.197.200","192.168.1.109","TCP","54","443  >  50080 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"169","35.765139","192.168.1.100","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"170","35.767255","192.168.1.100","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"171","36.825530","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"172","36.826601","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"173","36.827668","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"174","36.828828","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"175","39.997910","192.168.1.134","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1 "
"176","40.169612","192.168.1.134","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1 "
"177","40.205256","192.168.1.134","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1 "
"178","40.309555","192.168.1.134","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1 "
"179","40.413731","192.168.1.134","239.255.255.250","SSDP","433","NOTIFY * HTTP/1.1 "
"180","40.523432","192.168.1.134","239.255.255.250","SSDP","433","NOTIFY * HTTP/1.1 "
"181","40.622108","192.168.1.134","239.255.255.250","SSDP","443","NOTIFY * HTTP/1.1 "
"182","40.785175","192.168.1.134","239.255.255.250","SSDP","443","NOTIFY * HTTP/1.1 "
"183","41.826560","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"184","41.828161","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"185","41.829946","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"186","41.831264","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"187","45.740873","192.168.1.109","24.156.131.29","TCP","55","[TCP Keep-Alive] 50077  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"188","45.770107","24.156.131.29","192.168.1.109","TCP","66","[TCP Keep-Alive ACK] 443  >  50077 [ACK] Seq=1 Ack=2 Win=245 Len=0 SLE=1 SRE=2"
"189","46.825711","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"190","46.826838","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"191","46.827842","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"192","46.828974","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"193","50.476151","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation"
"194","50.535159","fe80::8000:f227:62c7:9542","fe80::ffff:ffff:fffe","ICMPv6","151","Router Advertisement"
"195","51.825907","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"196","51.827180","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"197","51.828691","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"198","51.829661","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"199","52.839819","192.168.1.100","239.255.255.250","SSDP","136","M-SEARCH * HTTP/1.1 "
"200","52.841432","192.168.1.135","239.255.255.250","SSDP","136","M-SEARCH * HTTP/1.1 "
"201","56.754509","192.168.1.109","24.156.131.98","TLSv1.2","143","Application Data"
"202","56.754856","192.168.1.109","24.156.131.98","TLSv1.2","100","Application Data"
"203","56.826265","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"204","56.827550","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"205","56.828725","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"206","56.829861","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"207","56.836189","24.156.131.98","192.168.1.109","TCP","60","443  >  49793 [ACK] Seq=537 Ack=454 Win=254 Len=0"
"208","56.837440","24.156.131.98","192.168.1.109","TCP","60","443  >  49793 [ACK] Seq=537 Ack=500 Win=254 Len=0"
"209","56.847972","24.156.131.98","192.168.1.109","TLSv1.2","100","Application Data"
"210","56.878242","24.156.131.98","192.168.1.109","TLSv1.2","276","Application Data, Application Data, Application Data"
"211","56.878361","192.168.1.109","24.156.131.98","TCP","54","49793  >  443 [ACK] Seq=500 Ack=805 Win=252 Len=0"
"212","56.879245","192.168.1.109","24.156.131.98","TLSv1.2","100","Application Data"
"213","56.967776","24.156.131.98","192.168.1.109","TCP","60","443  >  49793 [ACK] Seq=805 Ack=546 Win=254 Len=0"
"214","59.998187","192.168.1.134","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1 "
"215","60.101906","192.168.1.134","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1 "
"216","60.205756","192.168.1.134","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1 "
"217","60.311787","192.168.1.134","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1 "
"218","60.414069","192.168.1.134","239.255.255.250","SSDP","433","NOTIFY * HTTP/1.1 "
"219","60.503372","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"220","60.518056","192.168.1.134","239.255.255.250","SSDP","433","NOTIFY * HTTP/1.1 "
"221","60.622274","192.168.1.134","239.255.255.250","SSDP","443","NOTIFY * HTTP/1.1 "
"222","60.726155","192.168.1.134","239.255.255.250","SSDP","443","NOTIFY * HTTP/1.1 "
"223","61.061857","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"224","61.519297","192.168.1.109","66.185.84.167","TCP","55","[TCP Keep-Alive] 50071  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"225","61.548399","66.185.84.167","192.168.1.109","TCP","66","[TCP Keep-Alive ACK] 443  >  50071 [ACK] Seq=1 Ack=2 Win=280 Len=0 SLE=1 SRE=2"
"226","61.579338","192.168.1.109","64.71.249.49","TCP","55","[TCP Keep-Alive] 50070  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1"
"227","61.608202","64.71.249.49","192.168.1.109","TCP","66","[TCP Keep-Alive ACK] 443  >  50070 [ACK] Seq=1 Ack=2 Win=448 Len=0 SLE=1 SRE=2"
"228","61.825724","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"229","61.826854","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"230","61.828004","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"231","61.829160","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"232","62.061900","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"233","62.063236","fe80::4af8:b3ff:fe65:d120","ff02::1","ICMPv6","86","Router Advertisement from 48:f8:b3:65:d1:20"
"234","63.506069","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"235","64.061399","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"236","65.061547","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"237","66.825621","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"238","66.826742","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"239","66.827891","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"240","66.830339","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"241","69.504804","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"242","70.061115","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"243","71.061065","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.100"
"244","71.188372","192.168.1.100","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"245","71.216136","192.168.1.135","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"246","71.825399","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"247","71.827442","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"248","71.833675","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"249","71.834375","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"250","72.190542","192.168.1.100","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"251","72.193930","192.168.1.135","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"252","73.190778","192.168.1.100","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"253","73.193851","192.168.1.135","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"254","74.191030","192.168.1.100","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"255","74.203755","192.168.1.135","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"256","76.350437","66.185.84.167","192.168.1.109","TLSv1.2","117","Application Data"
"257","76.351042","192.168.1.109","66.185.84.167","TCP","54","50071  >  443 [FIN, ACK] Seq=2 Ack=64 Win=256 Len=0"
"258","76.385849","66.185.84.167","192.168.1.109","TCP","54","443  >  50071 [FIN, ACK] Seq=64 Ack=2 Win=280 Len=0"
"259","76.385964","192.168.1.109","66.185.84.167","TCP","54","50071  >  443 [ACK] Seq=3 Ack=65 Win=256 Len=0"
